,model,original_score_v2_0,original_score_v2_1,attacked_score_v2_0_PGD,attacked_score_v2_1_PGD,attacked_score_v2_0_FGSM,attacked_score_v2_1_FGSM,decrease_rate_v2_0_PGD,decrease_rate_v2_1_PGD,decrease_rate_v2_0_FGSM,decrease_rate_v2_1_FGSM
96,scores\dreamlike_photoreal,0.2766,0.2761,0.2393,0.1996,0.2654,0.254,0.1348517715112075,0.2770735240854763,0.04049168474331159,0.08004346251358206
97,scores\dreamlike_photoreal,0.2815,0.2576,0.2373,0.2155,0.26,0.2368,0.1570159857904084,0.16343167701863354,0.07637655417406737,0.08074534161490678
98,scores\dreamlike_photoreal,0.2927,0.3062,0.258,0.2439,0.272,0.274,0.11855141783395971,0.2034617896799478,0.0707208746156474,0.10516002612671457
99,scores\dreamlike_photoreal,0.2786,0.2634,0.2406,0.22,0.2617,0.2426,0.1363962670495334,0.16476841305998488,0.060660445082555726,0.07896735003796511
100,scores\dreamlike_photoreal,0.3005,0.3188,0.26,0.2615,0.2769,0.287,0.13477537437603987,0.17973651191969878,0.07853577371048256,0.09974905897114178
101,scores\dreamlike_photoreal,0.2712,0.265,0.1826,0.1589,0.2605,0.2474,0.3266961651917404,0.400377358490566,0.039454277286135646,0.06641509433962266
102,scores\dreamlike_photoreal,0.277,0.2654,0.2505,0.2135,0.269,0.2524,0.09566787003610117,0.19555388093443868,0.0288808664259928,0.04898266767143938
103,scores\dreamlike_photoreal,0.288,0.2915,0.236,0.19,0.2607,0.2411,0.18055555555555552,0.34819897084048024,0.09479166666666665,0.17289879931389357
104,scores\dreamlike_photoreal,0.3093,0.3213,0.265,0.261,0.289,0.324,0.14322664080181055,0.18767507002801112,0.06563207242159728,-0.008403361344537928
105,scores\dreamlike_photoreal,0.3015,0.305,0.273,0.2808,0.2852,0.2983,0.0945273631840795,0.07934426229508197,0.05406301824212266,0.021967213114754046
106,scores\dreamlike_photoreal,0.3115,0.3235,0.275,0.2947,0.2903,0.3154,0.117174959871589,0.08902627511591961,0.06805778491171749,0.025038639876352384
107,scores\dreamlike_photoreal,0.2812,0.2766,0.2546,0.2396,0.269,0.2651,0.09459459459459464,0.13376717281272596,0.043385490753911765,0.04157628344179324
108,scores\dreamlike_photoreal,0.297,0.2976,0.2668,0.254,0.2786,0.2732,0.10168350168350171,0.14650537634408595,0.061952861952861864,0.08198924731182788
109,scores\dreamlike_photoreal,0.2822,0.2903,0.2551,0.2522,0.268,0.277,0.0960311835577605,0.13124354116431286,0.05031892274982278,0.04581467447468129
110,scores\dreamlike_photoreal,0.2876,0.291,0.2568,0.2483,0.274,0.2788,0.10709318497913786,0.14673539518900341,0.04728789986091794,0.041924398625429515
111,scores\dreamlike_photoreal,0.3145,0.316,0.2756,0.283,0.291,0.3093,0.12368839427662953,0.10443037974683554,0.0747217806041336,0.02120253164556957
112,scores\dreamlike_photoreal,0.29,0.3506,0.2585,0.3123,0.2766,0.33,0.10862068965517233,0.10924130062749572,0.04620689655172403,0.058756417569880225
113,scores\dreamlike_photoreal,0.2844,0.3281,0.262,0.307,0.2722,0.3245,0.0787623066104078,0.06430966168850963,0.042897327707454254,0.010972264553489765
114,scores\dreamlike_photoreal,0.2996,0.3547,0.2715,0.333,0.2825,0.3428,0.09379172229639506,0.06117846067098956,0.05707610146862485,0.033549478432478214
115,scores\dreamlike_photoreal,0.2952,0.346,0.268,0.319,0.284,0.342,0.0921409214092141,0.07803468208092477,0.03794037940379418,0.011560693641618347
116,scores\dreamlike_photoreal,0.2864,0.333,0.2556,0.2834,0.2722,0.3242,0.10754189944134077,0.14894894894894903,0.04958100558659215,0.026426426426426515
117,scores\dreamlike_photoreal,0.291,0.352,0.2703,0.3337,0.2783,0.3438,0.0711340206185567,0.05198863636363632,0.04364261168384876,0.023295454545454505
118,scores\dreamlike_photoreal,0.305,0.3474,0.2654,0.317,0.2834,0.3552,0.1298360655737704,0.08750719631548642,0.07081967213114757,-0.022452504317789376
119,scores\dreamlike_photoreal,0.2952,0.3406,0.26,0.3047,0.2812,0.3347,0.11924119241192414,0.10540223135642979,0.04742547425474258,0.01732237228420439
