FGSM_decrease_rate_v2_0,FGSM_decrease_rate_v2_1,PGD_decrease_rate_v2_0,PGD_decrease_rate_v2_1,score2_0_original,score2_1_original,score2_0_attacked_FGSM,score2_1_attacked_FGSM,score2_0_attacked_PGD,score2_1_attacked_PGD
0.047169811320754755,0.11970534069981581,0.10416666666666675,0.20994475138121546,0.2544,0.2172,0.2424,0.1912,0.2279,0.1716
0.05412566237698706,0.09379785604900458,0.0753217259651779,0.16232771822358344,0.2642,0.2612,0.2499,0.2367,0.2443,0.2188
0.0548539857932124,0.18143961927424151,0.14246250986582487,0.36287923854848303,0.2534,0.1681,0.2395,0.1376,0.2173,0.1071
0.007167106752169041,0.029176470588235217,0.07846095812900797,0.13741176470588237,0.2651,0.2125,0.2632,0.2063,0.2443,0.1833
-0.0018532246108228334,-0.00481189851268587,0.06597479614529275,0.12817147856517933,0.2698,0.2286,0.2703,0.2297,0.252,0.1993
0.05120366832250667,0.11327524346488985,0.11081390905617118,0.2608918503331625,0.2617,0.1951,0.2483,0.173,0.2327,0.1442
0.05177743431221008,0.10285714285714291,0.12557959814528585,0.26961038961038963,0.2588,0.1925,0.2454,0.1727,0.2263,0.1406
-0.035194744251525,0.22411282984531392,0.2219615204129517,0.6390354868061875,0.2131,0.1099,0.2206,0.08527,0.1658,0.03967
0.03637059724349161,0.04446640316205538,0.07963246554364467,0.08992094861660076,0.2612,0.2024,0.2517,0.1934,0.2404,0.1842
0.028856825749167495,0.09229466553767987,0.06955234924158336,0.1553767993226079,0.2703,0.2362,0.2625,0.2144,0.2515,0.1995
0.010378057820607745,0.07311429893567785,0.08376575240919193,0.21610365571494675,0.2698,0.2161,0.267,0.2003,0.2472,0.1694
0.05582329317269075,0.19204927211646133,0.15060240963855423,0.3868980963045913,0.249,0.1786,0.2351,0.1443,0.2115,0.1095
0.026462914647782318,0.11772605192479853,0.0998881848676854,0.23545210384959706,0.2683,0.2234,0.2612,0.1971,0.2415,0.1708
0.02517482517482512,0.0060240963855421326,0.047202797202797055,0.08998493975903617,0.286,0.2656,0.2788,0.264,0.2725,0.2417
0.050157977883096325,0.092711682743837,0.08846761453396515,0.2090032154340835,0.2532,0.1866,0.2405,0.1693,0.2308,0.1476
0.06284367635506671,0.12945492662473795,0.1421838177533385,0.2961215932914046,0.2546,0.1908,0.2386,0.1661,0.2184,0.1343
0.04841402337228714,0.12429704397981249,0.10392320534223708,0.23503965392934387,0.2396,0.1387,0.228,0.12146,0.2147,0.1061
0.016017473607571952,0.08081705150976919,0.06152165999271943,0.13765541740674955,0.2747,0.2252,0.2703,0.207,0.2578,0.1942
0.07105064247921394,0.1745152354570637,0.13076341647770215,0.3227146814404432,0.2646,0.2166,0.2458,0.1788,0.23,0.1467
0.020788530465949917,0.015258215962441372,0.06630824372759862,0.0821596244131455,0.279,0.2556,0.2732,0.2517,0.2605,0.2346
0.12440570522979402,0.265281173594132,0.266244057052298,0.44865525672371637,0.2524,0.1636,0.221,0.1202,0.1852,0.0902
0.038921001926782266,0.06550665301944718,0.09402697495183046,0.1586489252814739,0.2595,0.1954,0.2494,0.1826,0.2351,0.1644
0.06425406203840463,0.14220705346985202,0.12001477104874438,0.1638225255972696,0.2708,0.2637,0.2534,0.2262,0.2383,0.2205
